"3134HADH3(Opens a new window)","08/08/2024","$20,000,000.00","5/.5","5","08/03/2029","MTN","Bermudan","USD","INSPEREX MESIROW FINANCIAL ROBERT W. BAIRD & CO. INCORPORATED"
"3134HADS9(Opens a new window)","08/08/2024","$15,000,000.00","4/1","4","07/10/2028","MTN","European","USD","HILLTOP SECURITIES, INC."
"3134HADT7(Opens a new window)","08/08/2024","$10,000,000.00","4/1","4","08/08/2028","MTN","European","USD","ROBERT W. BAIRD & CO. INCORPORATED"
"3134HAEA7(Opens a new window)","08/08/2024","$10,000,000.00","3.5/.5","5","02/10/2028","MTN","Bermudan","USD","PIPER SANDLER & CO."
"3134HADW0(Opens a new window)","08/09/2024","$15,000,000.00","5/1","4.7","08/08/2029","MTN","Bermudan","USD","STIFEL, NICOLAUS, & CO. INC"
"3134HAEE9(Opens a new window)","08/09/2024","$10,000,000.00","5/.5","4","08/07/2029","MTN","Bermudan","USD","LOOP CAPITAL MARKETS LLC"
"3134HAEE9(Opens a new window)","08/09/2024","$40,000,000.00","5/.5","4","08/07/2029","MTN","Bermudan","USD","LOOP CAPITAL MARKETS LLC"
"3134HAEY5(Opens a new window)","08/09/2024","$1,600,000,000.00","1.5 YR","0","02/09/2026","GLOBAL MTN","N/A","USD","CITIGROUP GLOBAL MARKET INC. SIEBERT WILLIAMS SHANK & CO, LLC"
"3134HADJ9(Opens a new window)","08/12/2024","$7,235,000.00","15/.5","5.27","08/12/2039","MTN","Bermudan","USD","MULTI-BANK SECURITIES"
"3134HADN0(Opens a new window)","08/12/2024","$15,000,000.00","1.5/.5","4.625","02/12/2026","MTN","Bermudan","USD","BNY CAPITAL MARKETS"
"3134HAEN9(Opens a new window)","08/12/2024","$10,000,000.00","5/.25","6.25","08/08/2029","MTN","Bermudan","USD","LOOP CAPITAL MARKETS LLC"
"3134HAFE8(Opens a new window)","08/13/2024","$10,000,000.00","5/1","4.125","08/13/2029","MTN","Bermudan","USD","D.A. DAVIDSON & CO. STIFEL, NICOLAUS, & CO. INC"
"3134HAFE8(Opens a new window)","08/13/2024","$15,000,000.00","5/1","4.125","08/13/2029","MTN","Bermudan","USD","D.A. DAVIDSON & CO. STIFEL, NICOLAUS, & CO. INC"
"3134HAFC2(Opens a new window)","08/13/2024","$5,000,000.00","5/.5","4","08/13/2029","MTN","European","USD","GREAT PACIFIC SECURITIES"
"3134HAFA6(Opens a new window)","08/13/2024","$5,000,000.00","5/1","4.7","08/13/2029","MTN","Bermudan","USD","MULTI-BANK SECURITIES"
"3134HAEK5(Opens a new window)","08/13/2024","$10,000,000.00","5/1","4.125","08/13/2029","MTN","Bermudan","USD","FIFTH THIRD SECURITIES, INC."
"3134HAEK5(Opens a new window)","08/13/2024","$10,000,000.00","5/1","4.125","08/13/2029","MTN","Bermudan","USD","FIFTH THIRD SECURITIES, INC."
"3134HAEC3(Opens a new window)","08/13/2024","$10,000,000.00","5/.5","4","08/13/2029","MTN","European","USD","ROBERT W. BAIRD & CO. INCORPORATED INSPEREX"
