Instrument Type;Exchange;Issuer;Round Lot;Settlement Type;Excercise Type;Listing Date;Trading Currency;Market Maker;MMO Trade Through Limit;EUSIPA;Clearing Venue
Leverage Certificates;FNSE;NDS;1;CASH;European;2025-07-22;SEK;NRD;0;2300;VPG

Symbol;Long Symbol;Short Name;Long Name;ISIN code;Call / Put;Warrants/Certificates Per Underlying;Instrument Currency;Strike Price;Knockout Level;Last Trading Date YYYY-MM-DD;Expiration Date YYYY-MM-DD;Number of Issued Instruments;Description;Direction;Leverage Ratio;Reimbursement Date YYYY-MM-DD;Max Level;Level Of Funding;Asian Tail Start YYYY-MM-DD;Asian Tail End YYYY-MM-DD;Strike Currency;Orderbook ID;ISIN Code for Underlying Instrument;Text for Underlying Instrument;Basket Share
BEARBILLX3NDA S2;BEAR BILLERUD X3 NDA S2;BEARBILLX3NDA S2;BEAR BILLERUD X3 NDA S2;SE0025481278;PUT;1;SEK;;;2099-12-31;2099-12-31;15000000;;Bear;-300;;;;;;SEK;415310;SE0000862997;;100
BEARBILLX2NDA S1;BEAR BILLERUD X2 NDA S1;BEARBILLX2NDA S1;BEAR BILLERUD X2 NDA S1;SE0025481260;PUT;1;SEK;;;2099-12-31;2099-12-31;15000000;;Bear;-200;;;;;;SEK;415311;SE0000862997;;100
BEARALFAX10NDA S;BEAR ALFA X10 NDA S;BEARALFAX10NDA S;BEAR ALFA X10 NDA S;SE0025481237;PUT;1;SEK;;;2099-12-31;2099-12-31;15000000;;Bear;-1000;;;;;;SEK;415312;SE0000695876;;100
BEAR ALFAX8NDA S;BEAR ALFA X8 NDA S;BEAR ALFAX8NDA S;BEAR ALFA X8 NDA S;SE0025481229;PUT;1;SEK;;;2099-12-31;2099-12-31;15000000;;Bear;-800;;;;;;SEK;415313;SE0000695876;;100
BEAR ESSX10NDA S;BEAR ESSITY X10 NDA S;BEAR ESSX10NDA S;BEAR ESSITY X10 NDA S;SE0025480916;PUT;1;SEK;;;2099-12-31;2099-12-31;15000000;;Bear;-1000;;;;;;SEK;415314;SE0009922164;;100
BEAR ESSX8 NDA S;BEAR ESSITY X8 NDA S;BEAR ESSX8 NDA S;BEAR ESSITY X8 NDA S;SE0025480908;PUT;1;SEK;;;2099-12-31;2099-12-31;15000000;;Bear;-800;;;;;;SEK;415315;SE0009922164;;100
BEAR ESSX5 NDA S;BEAR ESSITY X5 NDA S;BEAR ESSX5 NDA S;BEAR ESSITY X5 NDA S;SE0025480890;PUT;1;SEK;;;2099-12-31;2099-12-31;15000000;;Bear;-500;;;;;;SEK;415316;SE0009922164;;100
BEAR ESSX3 NDA S;BEAR ESSITY X3 NDA S;BEAR ESSX3 NDA S;BEAR ESSITY X3 NDA S;SE0025480882;PUT;1;SEK;;;2099-12-31;2099-12-31;15000000;;Bear;-300;;;;;;SEK;415317;SE0009922164;;100
BEAR ESSX2 NDA S;BEAR ESSITY X2 NDA S;BEAR ESSX2 NDA S;BEAR ESSITY X2 NDA S;SE0025480874;PUT;1;SEK;;;2099-12-31;2099-12-31;15000000;;Bear;-200;;;;;;SEK;415318;SE0009922164;;100
BEAR ESSX1 NDA S;BEAR ESSITY X1 NDA S;BEAR ESSX1 NDA S;BEAR ESSITY X1 NDA S;SE0025480866;PUT;1;SEK;;;2099-12-31;2099-12-31;15000000;;Bear;-100;;;;;;SEK;415319;SE0009922164;;100
BEAR SF X5 NDA S;BEAR STILLFRONT X5 NDA S;BEAR SF X5 NDA S;BEAR STILLFRONT X5 NDA S;SE0025480809;PUT;1;SEK;;;2099-12-31;2099-12-31;15000000;;Bear;-500;;;;;;SEK;415320;SE0015346135;;100
BEAR SF X3 NDA S;BEAR STILLFRONT X3 NDA S;BEAR SF X3 NDA S;BEAR STILLFRONT X3 NDA S;SE0025480791;PUT;1;SEK;;;2099-12-31;2099-12-31;15000000;;Bear;-300;;;;;;SEK;415321;SE0015346135;;100
BEAR SF X2 NDA S;BEAR STILLFRONT X2 NDA S;BEAR SF X2 NDA S;BEAR STILLFRONT X2 NDA S;SE0025480783;PUT;1;SEK;;;2099-12-31;2099-12-31;15000000;;Bear;-200;;;;;;SEK;415322;SE0015346135;;100
BEAR SF X1 NDA S;BEAR STILLFRONT X1 NDA S;BEAR SF X1 NDA S;BEAR STILLFRONT X1 NDA S;SE0025480775;PUT;1;SEK;;;2099-12-31;2099-12-31;15000000;;Bear;-100;;;;;;SEK;415323;SE0015346135;;100
